Project,sha,Test class,Test method
achilles,2a82e0a011197906a8471be487da8b24ffaa39d9,info.archinnov.achilles.it.TestEntityWithStaticAnnotations,should_find_using_static_consistency
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestALLEntityAsChild,should_delete_by_id
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestALLEntityAsChild,should_dsl_delete
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestALLEntityAsChild,should_dsl_update_child_value
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestALLEntityAsChild,should_insert
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestCRUDSimpleEntity,should_delete_by_id
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestCRUDSimpleEntity,should_delete_by_partition
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestCRUDSimpleEntity,should_delete_with_equal_condition
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestCRUDSimpleEntity,should_delete_with_inequal_condition
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestCRUDSimpleEntity,should_delete_with_not_equal_condition
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestCRUDSimpleEntity,should_delete_with_schema_name_provider
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestCRUDSimpleEntity,should_insert
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestCRUDSimpleEntity,should_insert_with_downgrading_consistency
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestCRUDSimpleEntity,should_insert_with_schema_name_provider
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestCRUDSimpleEntity,should_insert_with_timestamp
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestCRUDSimpleEntity,should_insert_with_ttl
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_delete
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_delete_with_options
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_delete_with_schema_name
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_list_append
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_list_appendAll
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_list_prepend
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_list_prependAll
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_list_removeAll
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_list_removeAtIndex
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_list_remove_single
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_list_set
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_list_setAtIndex
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_map_addAll
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_map_put
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_map_removeByKey
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_map_set
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_set_add
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_set_addAll
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_set_remove
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_set_removeAll
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_set_setValue
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_value_if_equal
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_value_if_exists
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_with_options
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestDSLSimpleEntity,should_dsl_update_with_schema_name
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestEntityWithComplexCounter,should_dsl_update_codec_counter
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestEntityWithComplexTuple,should_insert
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestEntityWithCompositePartitionKey,should_insert
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestEntityWithCounterColumn,should_delete_by_id
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestEntityWithCounterColumn,should_delete_instance
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestEntityWithCounterColumn,should_dsl_delete
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestEntityWithCounterColumn,should_dsl_update
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestEntityWithStaticColumn,should_dsl_delete_static
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestEntityWithStaticColumn,should_dsl_update_static
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestEntityWithStaticColumn,should_insert
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestEntityWithStaticColumn,should_insert_static
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestEntityWithStaticColumn,should_insert_static_with_insert_strategy
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestEntityWithStaticColumn,should_update
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestEntityWithStaticColumn,should_update_static
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestInterceptorsSimpleEntity,should_trigger_for_insert
achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,info.archinnov.achilles.it.TestInterceptorsSimpleEntity,should_trigger_for_update
